You need 539 stickers.

FRA 21.  "Marcus Thuram"
POL SP.  "Robert Lewandowski"
POL 4.  "Matty Cash"
POL 5.  "Mateusz Wieteska"
POL 8.  "Bartosz Slisz"
POL 9.  "Nicola Zalewski"
POL 10.  "Piotr Zieli\9532\228ski"
POL 11.  "Kacper Koz\9532\233owski"
POL 14.  "Arkadiusz Milik"
POL 15.  "Robert Lewandowski"
EST SP.  "Markus Poom"
EST 1.  "Logo"
EST 6.  "Marco Lukka"
EST 7.  "Rasmus Peetson"
EST 8.  "Maksim Paskotsi"
EST 9.  "Taijo Teniste"
EST 10.  "Nikita Baranov"
EST 11.  "Rocco Shein"
EST 12.  "Georgi Tunjov"
EST 13.  "Martin Miller"
EST 14.  "Markus Poom"
EST 15.  "Martin Vetkal"
WAL SP.  "Brennan Johnson"
WAL 1.  "Logo"
WAL 2.  "Danny Ward"
WAL 3.  "Ben Davies"
WAL 6.  "Connor Roberts"
WAL 7.  "Chris Mepham"
WAL 8.  "Aaron Ramsey"
WAL 9.  "David Brooks"
WAL 14.  "Kieffer Moore"
WAL 15.  "Brennan Johnson"
FIN SP.  "Teemu Pukki"
FIN 1.  "Logo"
FIN 2.  "Lukas Hradecky"
FIN 3.  "Leo V\9500\241is\9500\241nen"
FIN 6.  "Robert Ivanov"
FIN 7.  "Robin Lod"
FIN 10.  "Rasmus Sch\9500\9565ller"
FIN 11.  "Kaan Kairinen"
FIN 12.  "Oliver Antman"
FIN 13.  "Joel Pohjanpalo"
FIN 14.  "Benjamin K\9500\241llman"
FIN 15.  "Teemu Pukki"
GE 2.  "Overview 2/2"
BEL P 1.  "Landmark 1/2"
BEL P 2.  "Landmark 2/2"
BEL PTW.  "Johan Bakayoko"
BEL SP.  "Romelu Lukaku"
BEL TOP 1.  "Lois Openda"
BEL TOP 2.  "Leandro Trossard"
BEL 3.  "Amadou Onana"
BEL 4.  "Thibaut Courtois"
BEL 6.  "Wout Faes"
BEL 8.  "Arthur Theate"
BEL 9.  "Zeno Debast"
BEL 10.  "Ameen Al"
BEL 11.  "Leander Dendoncker"
BEL 13.  "Youri Tielemans"
BEL 14.  "Charles De Ketelaere"
BEL 15.  "Yannick Carrasco"
BEL 16.  "Alexis Saelemaekers"
BEL 17.  "Leandro Trossard"
BEL 18.  "J\9500\8976r\9500\8976my Doku"
BEL 19.  "Romelu Lukaku"
BEL 20.  "Michy Batshuayi"
BEL 21.  "Lo\9500\187s Openda"
SVK P 1.  "Landmark 1/2"
SVK PTW.  "Tom\9500\237\9532\237  Suslov"
SVK SP.  "Stanislav Lobotka"
SVK TOP 1.  "D\9500\237vid  Hancko"
SVK TOP 2.  "R\9500\9474bert  Mak"
SVK 1.  "Logo"
SVK 2.  "Milan \9532\225kriniar"
SVK 3.  "Laci B\9500\8976nes"
SVK 4.  "Martin D\9500\9553bravka"
SVK 9.  "Ondrej Duda"
SVK 10.  "Patrik Hro\9532\237ovsk\9500\9564"
SVK 12.  "Juraj Kucka"
SVK 13.  "Mat\9500\9553\9532\237  Bero"
